Equity Holding,Shares,Market Value,Country
Acom Co Ltd,1109000,5000000,Japan
Actavis plc,77000,29000000,United States
Activision Blizzard Inc,688000,20000000,United States
Acuity Brands Inc,57000,12000000,United States
Adaro Energy Tbk PT,27005000,2000000,Indonesia
Admiral Group PLC,225000,6000000,United Kingdom
Adobe Systems Inc,759000,71000000,United States
Advance Residence Investment Corp,5000,17000000,Japan
Advanced Info Service PCL,2140000,20000000,Thailand
Advanced Semiconductor Engineering Inc,5512000,9000000,Taiwan
Advanced Semiconductor Engineering Inc Depositary Receipt,1303000,12000000,Taiwan
Advantech Co Ltd,664000,6000000,Taiwan
Advantest Corp,343000,6000000,Japan
Aegon NV,4170000,42000000,Netherlands
Aeon Co Ltd,635000,9000000,Japan
Aeon Mall Co Ltd,768000,19000000,Japan
Aetna Inc,257000,35000000,United States
Affiliated Managers Group Inc,113000,31000000,United States
Aflac Inc,745000,60000000,United States
African Rainbow Minerals Ltd,194000,2000000,South Africa
Ageas,554000,25000000,Belgium
Aggreko PLC,702000,20000000,United Kingdom
Agilent Technologies Inc,514000,27000000,United States
Agricultural Bank of China Ltd A,13708000,10000000,China
Agricultural Bank of China Ltd H,19932000,13000000,China
Aguas Andinas SA,5200000,4000000,Chile
Air Liquide SA,34000,6000000,France
Air New Zealand Ltd,907000,2000000,New Zealand
Air Products & Chemicals Inc,248000,47000000,United States
AirAsia Bhd,2358000,2000000,Malaysia
Airgas Inc,39000,5000000,United States
Airports of Thailand PCL,725000,8000000,Thailand
Airports of Thailand PCL Depositary Receipt,125000,1000000,Thailand
Airtac International Group,152000,2000000,Taiwan
Aisin Seiki Co Ltd,531000,24000000,Japan
Ajinomoto Co Inc,1408000,39000000,Japan
Akamai Technologies Inc,47000,4000000,United States
Akbank TAS,2491000,9000000,Turkey
Aker ASA,37000,1000000,Norway
Aker Solutions ASA,242000,2000000,Norway
Albemarle Corp,174000,12000000,United States
Alcoa Inc,2084000,34000000,United States
Alexion Pharmaceuticals Inc,13000,3000000,United States
Alfa SAB de CV,6985000,18000000,Mexico
Aliansce Shopping Centers SA,43842000,294000000,Brazil
Alibaba Group Holding Ltd Depositary Receipt,9658000,1018000000,China
Alibaba Health Information Technology Ltd,4324000,5000000,Hong Kong
Alibaba Pictures Group Ltd,3919000,2000000,China
Alicorp SAA,767000,2000000,Peru
Alior Bank SA,81000,2000000,Poland
Alliance Data Systems Corp,164000,62000000,United States
Alliance Financial Group Bhd,935000,2000000,Malaysia
Alliance Global Group Inc,6929000,5000000,Philippines
Allianz SE,826000,181000000,Germany
Allstate Corp/The,723000,65000000,United States
Ally Financial Inc,880000,23000000,United States
Alpha Bank AE,7880000,3000000,Greece
Alps Electric Co Ltd,440000,14000000,Japan
Altera Corp,209000,11000000,United States
Altria Group Inc,2649000,168000000,United States
AmTRAN Technology Co Ltd,1732000,1000000,Taiwan
Amada Holdings Co Ltd,1312000,16000000,Japan
Amadeus IT Holding SA,540000,29000000,Spain
Ambev SA,167000,1000000,Brazil
Ambev SA Depositary Receipt,6184000,45000000,Brazil
Amcor Ltd/Australia,1139000,15000000,Australia
Amdocs Ltd,413000,28000000,United States
America Movil SAB de CV,77119000,100000000,Mexico
American Airlines Group Inc,325000,22000000,United States
American Capital Agency Corp,736000,20000000,United States
American Electric Power Co Inc,407000,29000000,United States
American Express Co,1750000,173000000,United States
American International Group Inc,9136000,634000000,United States
American Realty Capital Properties Inc,1829000,23000000,United States
American Tower Corp,847000,101000000,United States
American Water Works Co Inc,181000,12000000,United States
Ameriprise Financial Inc,320000,53000000,United States
AmerisourceBergen Corp,353000,51000000,United States
Amgen Inc,507000,103000000,United States
Amorepacific Corp,6000,24000000,South Korea
Anadarko Petroleum Corp,523000,55000000,United States
Anadolu Efes Biracilik Ve Malt Sanayii AS,198000,2000000,Turkey
Angang Steel Co Ltd,1806000,2000000,China
Anglo American PLC,1561000,30000000,United Kingdom
Anglo American Platinum Ltd,105000,3000000,South Africa
AngloGold Ashanti Ltd,753000,9000000,South Africa
Anheuser-Busch InBev NV,1218000,189000000,Belgium
Anhui Conch Cement Co Ltd A,958000,4000000,China
Anhui Conch Cement Co Ltd H,831000,4000000,China
Annaly Capital Management Inc,1989000,26000000,United States
AntarChile SA,278000,4000000,Chile
Antero Resources Corp,48000,2000000,United States
Anthem Inc,9000,2000000,United States
Antofagasta PLC,990000,14000000,United Kingdom
Aon PLC,549000,67000000,United States
Aozora Bank Ltd,5119000,23000000,Japan
Apache Corp,277000,21000000,United States
Apollo Education Group Inc,160000,4000000,United States
Apple Inc,9122000,1438000000,United States
Applied Materials Inc,1407000,40000000,United States
Aqua America Inc,196000,7000000,United States
Arca Continental SAB de CV,593000,5000000,Mexico
