Asset Class,Security Description,Exposure,Quantity
Equity,Service Ord Shs,445847,15037
Equity,Servicemaster Global Holdings Ord Shs,504411,14338
Equity,ServiceNow Ord Shs,2044500,28812
Equity,Sherwin Williams Ord Shs,3865289,15110
Equity,Signature Bank Ord Shs,1319015,9881
Equity,Signet Jewelers Ord Shs,1987200,14400
Equity,Six Flags Entertainment Ord Shs,1466022,32600
Equity,Skechers USA Ord Shs Class A,2773141,19704
Equity,Skyworks Solutions Ord Shs,4320768,49465
Equity,SL Green Realty REIT,296556,2865
Equity,Snap On Ord Shs,436492,2732
Equity,SolarWinds Ord Shs,500850,12600
Equity,Southwest Airlines Ord Shs,3642365,99247
Equity,Spirit Aerosystems Ord Shs Class A,1017753,19913
Equity,Spirit Airlines Ord Shs,902000,17600
Equity,Splunk Ord Shs,893545,14419
Equity,Springleaf Holdings Ord Shs,1162059,25962
Equity,SS And C Technologies Holdings Ord Shs,456432,6738
Equity,St Jude Medical Ord Shs,708100,10000
Equity,Staples Ord Shs,927401,65264
Equity,Starbucks Ord Shs,9640559,176212
Equity,Stericycle Ord Shs,1086778,7700
Equity,Stryker Ord Shs,480426,4870
Equity,SunEdison Ord Shs,475550,45726
Equity,SunTrust Banks Ord Shs,472329,11700
Equity,SVB Financial Group Ord Shs,1337981,10697
Equity,Synchrony Financial Ord Shs,661867,20087
Equity,Synopsys Ord Shs,403316,8594
Equity,Synovus Financial Ord Shs,315103,10355
Equity,T Mobile US Ord Shs,1686475,42577
Equity,Tableau Software Ord Shs Class A,1667280,17705
Equity,Targa Resources Ord Shs,553319,8376
Equity,Target Ord Shs,5811076,74779
Equity,Tegna Ord Shs,1194258,50200
Equity,Tenet Healthcare Ord Shs,388917,7900
Equity,Tesoro Ord Shs,1761623,19146
Equity,Texas Instrument Ord Shs,976988,20422
Equity,Textron Ord Shs,519920,13400
Equity,Thermo Fisher Scientific Ord Shs,1100623,8779
Equity,Time Warner Ord Shs,3749814,52740
Equity,Timken Ord Shs,463550,14600
Equity,TJX Ord Shs,2792548,39712
Equity,Torchmark Ord Shs,824286,14100
Equity,Total System Services Ord Shs,904043,19726
Equity,Tractor Supply Ord Shs,1771889,20770
Equity,TransDigm Group Ord Shs,2068470,9000
Equity,Travelers Companies Ord Shs,1852426,18608
Equity,Twitter Ord Shs,537959,19358
Equity,Tyson Foods Ord Shs Class A,518141,12255
Equity,UDR REIT,1330760,41200
Equity,Ulta Salon Cosmetics and Fragrance Ord Shs,2589356,16379
Equity,Ultimate Software Group Ord Shs,438713,2490
Equity,Under Armour A Ord Shs,4522772,47344
Equity,United Continental Holdings Ord Shs,2721913,47778
Equity,UNITED RENTALS,803188,11585
Equity,United Therapeutics Ord Shs,1673840,11113
Equity,UnitedHealth Group Ord Shs,14498830,125314
Equity,Universal Health Services Ord Shs Class B,1529385,11152
Equity,USG Ord Shs,564435,18500
Equity,Valero Energy Ord Shs,2149651,36226
Equity,Valspar Ord Shs,623050,8500
Equity,VCA Ord Shs,641467,11583
Equity,VeriSign Ord Shs,1499790,21755
Equity,Verisk Analytics Ord Shs,1351980,18500
Equity,Vertex Pharmaceuticals Ord Shs,4694394,36813
Equity,VF Ord Shs,3137812,43322
Equity,Visa Ord Shs Class A,19677659,275984
Equity,Vornado Realty Trust REIT,873382,10017
Equity,Voya Financial Ord Shs,566416,13148
Equity,Vulcan Materials Ord Shs,1615413,17255
Equity,Wabtec Ord Shs,842688,8800
Equity,Walgreen Boots Alliance Ord Shs,10348957,119572
Equity,Walt Disney Ord Shs,19428414,190699
Equity,Waste Connections Ord Shs,394748,8300
Equity,Waste Management Ord Shs,1120343,22380
Equity,Western Digital Ord Shs,717560,8755
Equity,Western Union Ord Shs,631662,34255
Equity,Westlake Chemical Ord Shs,822927,14900
Equity,Westrock Ord Shs,403817,6804
Equity,Whirlpool Ord Shs,1810437,10770
Equity,WhiteWave Foods Ord Shs,1393797,30208
Equity,Williams Sonoma Ord Shs,623446,8200
Equity,WR Berkley Ord Shs,743636,13700
